Year,Year ending,Local Government Area,Age Group,Alleged Offender Incidents
2021,December,Ballarat,35 - 39 years,313
2021,December,Ballarat,40 - 44 years,287
2021,December,Ballarat,45+ years,467
2021,December,Banyule,10 - 17 years,220
2021,December,Banyule,18 - 24 years,386
2021,December,Banyule,25 - 29 years,335
2021,December,Banyule,30 - 34 years,344
2021,December,Banyule,35 - 39 years,363
2021,December,Banyule,40 - 44 years,303
2021,December,Banyule,45+ years,484
2021,December,Bass Coast,10 - 17 years,107
2021,December,Bass Coast,18 - 24 years,186
2021,December,Bass Coast,25 - 29 years,126
2021,December,Bass Coast,30 - 34 years,140
2021,December,Bass Coast,35 - 39 years,161
2021,December,Bass Coast,40 - 44 years,125
2021,December,Bass Coast,45+ years,232
2021,December,Baw Baw,10 - 17 years,145
2021,December,Baw Baw,18 - 24 years,317
2021,December,Baw Baw,25 - 29 years,239
2021,December,Baw Baw,30 - 34 years,246
2021,December,Baw Baw,35 - 39 years,202
2021,December,Baw Baw,40 - 44 years,164
2021,December,Baw Baw,45+ years,403
2021,December,Bayside,10 - 17 years,160
2021,December,Bayside,18 - 24 years,138
2021,December,Bayside,25 - 29 years,154
2021,December,Bayside,30 - 34 years,122
2021,December,Bayside,35 - 39 years,146
2021,December,Bayside,40 - 44 years,129
2021,December,Bayside,45+ years,295
2021,December,Benalla,10 - 17 years,74
2021,December,Benalla,18 - 24 years,70
2021,December,Benalla,25 - 29 years,63
2021,December,Benalla,30 - 34 years,64
2021,December,Benalla,35 - 39 years,80
2021,December,Benalla,40 - 44 years,44
2021,December,Benalla,45+ years,144
2021,December,Boroondara,10 - 17 years,217
2021,December,Boroondara,18 - 24 years,338
2021,December,Boroondara,25 - 29 years,201
2021,December,Boroondara,30 - 34 years,236
2021,December,Boroondara,35 - 39 years,172
2021,December,Boroondara,40 - 44 years,147
2021,December,Boroondara,45+ years,379
2021,December,Brimbank,10 - 17 years,413
2021,December,Brimbank,18 - 24 years,734
2021,December,Brimbank,25 - 29 years,680
2021,December,Brimbank,30 - 34 years,701
2021,December,Brimbank,35 - 39 years,716
2021,December,Brimbank,40 - 44 years,551
2021,December,Brimbank,45+ years,908
2021,December,Buloke,10 - 17 years,2
2021,December,Buloke,18 - 24 years,16
2021,December,Buloke,25 - 29 years,15
2021,December,Buloke,30 - 34 years,14
2021,December,Buloke,35 - 39 years,7
2021,December,Buloke,40 - 44 years,7
2021,December,Buloke,45+ years,30
2021,December,Campaspe,10 - 17 years,87
2021,December,Campaspe,18 - 24 years,202
2021,December,Campaspe,25 - 29 years,230
2021,December,Campaspe,30 - 34 years,204
2021,December,Campaspe,35 - 39 years,117
2021,December,Campaspe,40 - 44 years,100
2021,December,Campaspe,45+ years,211
2021,December,Cardinia,10 - 17 years,315
2021,December,Cardinia,18 - 24 years,411
2021,December,Cardinia,25 - 29 years,306
2021,December,Cardinia,30 - 34 years,298
2021,December,Cardinia,35 - 39 years,286
2021,December,Cardinia,40 - 44 years,207
2021,December,Cardinia,45+ years,349
2021,December,Casey,10 - 17 years,736
2021,December,Casey,18 - 24 years,"1,302"
2021,December,Casey,25 - 29 years,984
2021,December,Casey,30 - 34 years,875
2021,December,Casey,35 - 39 years,762
2021,December,Casey,40 - 44 years,571
2021,December,Casey,45+ years,891
2021,December,Central Goldfields,10 - 17 years,30
2021,December,Central Goldfields,18 - 24 years,92
2021,December,Central Goldfields,25 - 29 years,38
2021,December,Central Goldfields,30 - 34 years,60
2021,December,Central Goldfields,35 - 39 years,52
2021,December,Central Goldfields,40 - 44 years,52
2021,December,Central Goldfields,45+ years,103
